Instance Name,URL,Institution,Keywords
AB-OpenLab,http://ab-openlab.csir.res.in/frog/,[FROG stands for F inge R printing O ntology of G enomic variations. FROG fingerprints have been devised to capture genomic variations at various levels.](https://galaxyproject.org/use/ab-openlab/),Genomics
ABiMS,http://galaxy.sb-roscoff.fr/,[Analysis and bioinformatics for Marine Science.](https://galaxyproject.org/use/abims/),
ABiMS-Tools,http://galaxy3.sb-roscoff.fr/,[Hosts tools/resources developed at the Station Biologique de Roscoff in collaboration with ABiMS .](https://galaxyproject.org/use/abims-tools/),"Tool Publishing, Tools"
AGEseq @ AspenDB,http://aspendb.uga.edu:8085/,[This site provides a user-friendly interface for AGEseq (Analysis of Genome Editing by Sequencing) in a Galaxy instance.](https://galaxyproject.org/use/ageseq-aspendb/),
ANASTASIA,http://motherbox.chemeng.ntua.gr/anastasia_dev/,[A utomated N ucleotide A minoacid S equences T ranslational pl A tform for S ystemic I nterpretation and A nalysis](https://galaxyproject.org/use/anastasia/),
APOSTL,http://apostl.moffitt.org/,"[Automated Processing of SAINT Templated Layouts (APOSTL) is a freely available software suite and analysis pipeline for reproducible, interactive analysis of AP-MS data.](https://galaxyproject.org/use/apostl/)",
ARGA,http://mem.rcees.ac.cn:8083/,[Antibiotic Resistance Gene Analyzer](https://galaxyproject.org/use/arga/),
ARGs-OAP,http://smile.hku.hk/SARGs,[Fast annotation and classification of antibiotic resistance gene-like sequences from metagenomic data.](https://galaxyproject.org/use/args-oap/),Genomics
ARIAweb,https://ariaweb.pasteur.fr/,[Automated NOE assignment and NMR structure calculation](https://galaxyproject.org/use/ariaweb/),
ARIES,https://w3.iss.it/site/aries/,"[Analysis of genomic data in the field of public health and food safety, with the aim of deploying a comprehensive bioinformatics approach to the study of food-borne zoonoses and infectious diseases at the human and animal interface.](https://galaxyproject.org/use/aries/)",Genomics
BF2I-MAP,http://bf2i-galaxy.insa-lyon.fr:8080/,"[Locally developed as well as standard tools are available on a 16-core server with 32GB memory, accessible to all users, and located in the BF2I lab.](https://galaxyproject.org/use/bf2i-map/)","Tool Publishing, Tools"
BioBix,http://galaxy.ugent.be/,[A general genomics server. Includes the PROTEOFORMER pipeline tools.](https://galaxyproject.org/use/biobix/),"Genomics, Tool Publishing, Tools"
BioCiphers Lab Galaxy,http://avispa.biociphers.org/,[BCL Galaxy gives a user friendly interface for analysis tools developed by the BioCiphers Lab at the University of Pennsylvania.](https://galaxyproject.org/use/biociphers-lab-galaxy/),"Tool Publishing, Tools"
BioCompute Object Galaxy,https://galaxy.aws.biochemistry.gwu.edu/,"[BioCompute Objects is a standard for communication of High-throughput Sequencing (HTS) analysis results, data set creation and curation, and bioinformatics verification protocols.](https://galaxyproject.org/use/biocompute-object/)",
BioDivine Toolset,https://biodivine-vm.fi.muni.cz/galaxy/,[Systems biology tools implemented by the Sybila team.](https://galaxyproject.org/use/biodivine/),"Tool Publishing, Tools"
BioMaS,http://galaxy.cloud.ba.infn.it:8080/,[Taxonomic studies of environmental microbial communities](https://galaxyproject.org/use/biomas/),
