Resource Name,Page URL,Server URL,Summary,Keywords
AB-OpenLab,https://galaxyproject.org/use/ab-openlab/,http://ab-openlab.csir.res.in/frog/,FROG stands for F inge R printing O ntology of G enomic variations. FROG fingerprints have been devised to capture genomic variations at various levels.,Genomics
ABiMS,https://galaxyproject.org/use/abims/,http://galaxy.sb-roscoff.fr/,Analysis and bioinformatics for Marine Science.,
ABiMS-Tools,https://galaxyproject.org/use/abims-tools/,http://galaxy3.sb-roscoff.fr/,Hosts tools/resources developed at the Station Biologique de Roscoff in collaboration with ABiMS .,"Tool Publishing, Tools"
AGEseq @ AspenDB,https://galaxyproject.org/use/ageseq-aspendb/,http://aspendb.uga.edu:8085/,This site provides a user-friendly interface for AGEseq (Analysis of Genome Editing by Sequencing) in a Galaxy instance.,
Amazon Web Services (AWS),https://galaxyproject.org/use/aws/,,Set up you own general purpose genomics server running AWS using GVL and CloudMan.,Genomics
ANASTASIA,https://galaxyproject.org/use/anastasia/,http://motherbox.chemeng.ntua.gr/anastasia_dev/,A utomated N ucleotide A minoacid S equences T ranslational pl A tform for S ystemic I nterpretation and A nalysis,
AnVIL,https://galaxyproject.org/use/anvil/,,Run Galaxy inside the secure AnVIL environment on Google Cloud Platform.,
APOSTL,https://galaxyproject.org/use/apostl/,http://apostl.moffitt.org/,"Automated Processing of SAINT Templated Layouts (APOSTL) is a freely available software suite and analysis pipeline for reproducible, interactive analysis of AP-MS data.",
ARGA,https://galaxyproject.org/use/arga/,http://mem.rcees.ac.cn:8083/,Antibiotic Resistance Gene Analyzer,
ARGs-OAP,https://galaxyproject.org/use/args-oap/,http://smile.hku.hk/SARGs,Fast annotation and classification of antibiotic resistance gene-like sequences from metagenomic data.,Genomics
ARIAweb,https://galaxyproject.org/use/ariaweb/,https://ariaweb.pasteur.fr/,Automated NOE assignment and NMR structure calculation,
ARIES,https://galaxyproject.org/use/aries/,https://w3.iss.it/site/aries/,"Analysis of genomic data in the field of public health and food safety, with the aim of deploying a comprehensive bioinformatics approach to the study of food-borne zoonoses and infectious diseases at the human and animal interface.",Genomics
ASaiM,https://galaxyproject.org/use/asaim/,,Integrates tools specifically chosen for metagenomic and metatranscriptomic studies and hierarchically organized to orient user choice toward the best tool for a given task.,"Genomics, Tool Publishing, Tools"
ATACgraph,https://galaxyproject.org/use/atacgraph/,,ATAC-seq for biologists with minimal bioinformatics knowledge to analyze chromatin accessibility,
